name,description,url,last_month_stars,this_month_stars,stars_m_m_growth,last_month_multiple
interpret,"
        Fit interpretable models. Explain blackbox machine learning. 
      ",https://github.com/interpretml/interpret,5600,6000,400,1.1
ml-agents,"
        The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.
      ",https://github.com/Unity-Technologies/ml-agents,15000,16300,1300,1.1
petastorm,"
        Petastorm library enables single machine or distributed training and evaluation of deep learning models from datasets in Apache Parquet format. It supports ML frameworks such as Tensorflow, Pytorch, and PySpark and can be used from pure Python code.
      ",https://github.com/uber/petastorm,1600,1800,200,1.1
pipelines,"
        Machine Learning Pipelines for Kubeflow
      ",https://github.com/kubeflow/pipelines,3200,3400,200,1.1
surpriver,"
        Find big moving stocks before they move using machine learning and anomaly detection
      ",https://github.com/tradytics/surpriver,1600,1700,100,1.1
ABigSurvey,"
        A collection of 1000+ survey papers on Natural Language Processing (NLP) and Machine Learning (ML).
      ",https://github.com/NiuTrans/ABigSurvey,1800,1900,100,1.1
applied-ml,"
        📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.
      ",https://github.com/eugeneyan/applied-ml,24300,25900,1600,1.1
Girls-In-AI,"
        免费学代码系列：小白python入门、数据分析data analyst、机器学习machine learning、深度学习deep learning、kaggle实战
      ",https://github.com/girls-in-ai/Girls-In-AI,2700,3000,300,1.1
mlcourse.ai,"
        Open Machine Learning Course
      ",https://github.com/Yorko/mlcourse.ai,8900,9400,500,1.1
seldon-core,"
        An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models
      ",https://github.com/SeldonIO/seldon-core,3800,4200,400,1.1
yellowbrick,"
        Visual analysis and diagnostic tools to facilitate machine learning model selection.
      ",https://github.com/DistrictDataLabs/yellowbrick,4000,4200,200,1.1
MLAlgorithms,"
        Minimal and clean examples of machine learning algorithms implementations
      ",https://github.com/rushter/MLAlgorithms,9400,10300,900,1.1
Made-With-ML,"
        Learn how to design, develop, deploy and iterate on production-grade ML applications.
      ",https://github.com/GokuMohandas/Made-With-ML,33400,35700,2300,1.1
ml-workspace,"
        🛠 All-in-one web-based IDE specialized for machine learning and data science.
      ",https://github.com/ml-tooling/ml-workspace,3100,3300,200,1.1
scikit-learn,"
        scikit-learn: machine learning in Python
      ",https://github.com/scikit-learn/scikit-learn,54800,58100,3300,1.1
