name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Speedscope in VSCode,View speedscope flamegraphs in VSCode,https://marketplace.visualstudio.com/items?itemName=sransara.speedscope-in-vscode,119,469,350,3.9
React Email,A easy way to view the preview of a email made with react-email from your editor,https://marketplace.visualstudio.com/items?itemName=resend.react-email-preview,120,465,345,3.9
LLM Tools,A Toolkit for LLM Experimentation.,https://marketplace.visualstudio.com/items?itemName=Effixis.llm-tools,64,240,176,3.8
"Helpful Developer Assistant: search error logs on GitHub, ask questions about your code using Notebooks, and more!",,https://marketplace.visualstudio.com/items?itemName=helpful.helpfuldev,27,103,76,3.8
Accessibility Assistance,Detect accessibility issues in web pages using OpenAI and provide suggestions for fixing them,https://marketplace.visualstudio.com/items?itemName=HCLTechltd.accessibilityassistance,60,226,166,3.8
qiskit-linter,A language server for qiskit code ,https://marketplace.visualstudio.com/items?itemName=qiskit-support-extensions.qiskit-linter,165,608,443,3.7
SQL Notebook Extended,View SQL files as notebooks. Execute cells and view query output.,https://marketplace.visualstudio.com/items?itemName=richardchien.sqlnotebook-extended,92,340,248,3.7
VS Dictionary,An English dictionary for VS Code,https://marketplace.visualstudio.com/items?itemName=BingxiLiang.vscode-dictionary,41,153,112,3.7
Pull on Start,Run git pull when start vscode,https://marketplace.visualstudio.com/items?itemName=mefengl.pull-on-start,29,106,77,3.7
Arm Cortex Analysis,"Event Recorder, Event Statistics and System Analyzer",https://marketplace.visualstudio.com/items?itemName=Arm.cortex-analysis,124,453,329,3.7
BRO,syntax highlighting and auto complete support for bro-lang,https://marketplace.visualstudio.com/items?itemName=hsn-bro.bro-lang,37,134,97,3.6
pytrail,python profiling for beginners,https://marketplace.visualstudio.com/items?itemName=Samir-Rashid.pytrail,99,361,262,3.6
Zap Nats Client,Nats / Jetstream Client for VS Code.,https://marketplace.visualstudio.com/items?itemName=ejabudev.zap-nats-client,53,190,137,3.6
Cantata Results,Run tests and display results from Cantata makefile test projects,https://marketplace.visualstudio.com/items?itemName=QASystemsGmbH.cantata-results,51,184,133,3.6
Flashpost,Rest API Client for VS Code.,https://marketplace.visualstudio.com/items?itemName=VASubasRaj.flashpost,652,2288,1636,3.5
Bandit,Linting support for python files using bandit.,https://marketplace.visualstudio.com/items?itemName=nwgh.bandit,664,2333,1669,3.5
Azure Pipelines Tools,"Test local changes to Azure Pipeline Template Files, for both entrypoint and nested ones, before commit and push",https://marketplace.visualstudio.com/items?itemName=christopherhx.azure-pipelines-vscode-ext,258,872,614,3.4
OpenCodeGraph,"Code metadata from all your dev tools, in your editor",https://marketplace.visualstudio.com/items?itemName=sourcegraph.opencodegraph,67,230,163,3.4
Nuxt Extension Pack,A collection of extensions for working with Nuxt/Vue 3 Framework in VS Code.,https://marketplace.visualstudio.com/items?itemName=Nuxtr.nuxt-vscode-extentions,3912,13163,9251,3.4
Key Promoter,Learn shortcuts while you are working,https://marketplace.visualstudio.com/items?itemName=donebd.vscode-keypromoter,660,2225,1565,3.4
unittest_generator,Template generator for unit test cases for fully types functions `unittest_generator`.,https://marketplace.visualstudio.com/items?itemName=RomanMatveev.unittest-generator,69,234,165,3.4
Palantiri,Coding with LLM,https://marketplace.visualstudio.com/items?itemName=Palantiri.Palantiri-Free,185,615,430,3.3
so-code chatgpt,,https://marketplace.visualstudio.com/items?itemName=ccl.so-code,38,127,89,3.3
Biome,Biome LSP VS Code Extension,https://marketplace.visualstudio.com/items?itemName=biomejs.biome,16029,52930,36901,3.3
Prolog Tester,A VSCode Extension for running prolog Unit Tests,https://marketplace.visualstudio.com/items?itemName=SkyDev.prologtester,130,423,293,3.3
Docker stats,Displays for Docker resource usage in VSCode,https://marketplace.visualstudio.com/items?itemName=igorjrd.docker-stats,213,695,482,3.3
Markdown WYSIWYG,Provide a WYSIWYG-like experience for markdown and MDX files,https://marketplace.visualstudio.com/items?itemName=remcohaszing.markdown-decorations,159,521,362,3.3
NSI-Dev,Pretty straight forward local conda environment manager in the explorer view.,https://marketplace.visualstudio.com/items?itemName=mmarchand.nsi-dev,171,554,383,3.2
Bazel extension for Java(TM) Language Support by Salesforce Engineering,"Bazel support for Java Linting, Intellisense, formatting, refactoring and more...",https://marketplace.visualstudio.com/items?itemName=sfdc.bazel-vscode-java,4645,14983,10338,3.2
C# Extension,C# IDE Extension for VSCode,https://marketplace.visualstudio.com/items?itemName=bard83.csharpextension,909,2933,2024,3.2
fisk,"Smarty Fis support with formatting, folding, snippets, syntax highlighting and more",https://marketplace.visualstudio.com/items?itemName=oceans-pro.fisk,37,113,76,3.1
ChatWindow,,https://marketplace.visualstudio.com/items?itemName=julian-shalaby.chatwindow,33,103,70,3.1
Debug Extension for DataSonnet,Datasonnet and Jsonnet debugger for Visual Studio Code,https://marketplace.visualstudio.com/items?itemName=PortX.datasonnet-vscode-debugger,167,514,347,3.1
TONGYI Lingma,"Type Less, Code More",https://marketplace.visualstudio.com/items?itemName=Alibaba-Cloud.tongyi-lingma,103034,309422,206388,3.0
Assembly Runner,Run Assembly (NASM) code in OllyDbg,https://marketplace.visualstudio.com/items?itemName=GateaDavid.asmollydbg,1636,4880,3244,3.0
JupyterHub,Support for connecting to Jupyter Hub in VS Code along with the Jupyter Extension,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter-hub,14552,43442,28890,3.0
Git Line Blame,Display inline information in the text editor about the latest commit that edited the currently selected line,https://marketplace.visualstudio.com/items?itemName=carlthome.git-line-blame,935,2795,1860,3.0
Python Visual,"Python running tool can output tables, charts, and photo albums without relying on any library",https://marketplace.visualstudio.com/items?itemName=7zdguxzwiql66wy5iugdrxmgexrkf6zynlp5jfgf7ook26ylhjhq.python-visual-cli,826,2469,1643,3.0
dbtDocs,This extension makes it easier to document your dbt models.,https://marketplace.visualstudio.com/items?itemName=DuckDive.dbtdocs,114,343,229,3.0
Albus,Llama based AI code completion,https://marketplace.visualstudio.com/items?itemName=abybaddi009.albus,39,117,78,3.0
IBM Operator Collection SDK,IBM Operator Collection SDK VS Code extension for Operator Collection development,https://marketplace.visualstudio.com/items?itemName=IBM.operator-collection-sdk,356,1073,717,3.0
Cucumber JS Test Runner,Cucumber JS Test Runner for VS Code,https://marketplace.visualstudio.com/items?itemName=nick-mandziak.vscode-cucumber-js-runner,319,972,653,3.0
DevExpress VSCode Report Designer,"Create, edit and preview DevExpress Reports in Visual Studio Code.",https://marketplace.visualstudio.com/items?itemName=DevExpress.devexpress-report-designer-ex,418,1274,856,3.0
Oxc,oxc vscode extension,https://marketplace.visualstudio.com/items?itemName=oxc.oxc-vscode,1714,5220,3506,3.0
Roblox UI,A frontend for Roblox projects,https://marketplace.visualstudio.com/items?itemName=filiptibell.roblox-ui,118,349,231,3.0
Graphite: visual Git for stacked PRs,"Drag and drop rebasing, visualize dependency graphs & create new branches with the click of a button",https://marketplace.visualstudio.com/items?itemName=Graphite.gti-vscode,3344,9789,6445,2.9
Optuna Dashboard,Web Dashboard for Optuna,https://marketplace.visualstudio.com/items?itemName=Optuna.optuna-dashboard,1432,4137,2705,2.9
Green Client for Socket.IO,Socket.IO client inside VS Code,https://marketplace.visualstudio.com/items?itemName=martin-vana.vscode-extension-green-socket-io,252,726,474,2.9
Grafana,Grafana Editor,https://marketplace.visualstudio.com/items?itemName=Grafana.grafana-vscode,672,1943,1271,2.9
Gerber X3/X2 Format Support,Visual Studio Code support for Gerber X3/X2 file format,https://marketplace.visualstudio.com/items?itemName=argmaster.gerber-x3-x2-format-support,86,244,158,2.8
Trello Kanban Board,Simple trello like kanban board for Visual Studio Code. Visually organize your ideas!,https://marketplace.visualstudio.com/items?itemName=mayank1513.trello-kanban-task-board,177,498,321,2.8
FRONT-END.AI for VSCode,Build HTML 10X faster with AI that understands design.,https://marketplace.visualstudio.com/items?itemName=FRONT-END-AI.front-end-ai,386,1077,691,2.8
PaLM API Image Editor,Convert images to WebP format. Resize Image. Remove Image Background.,https://marketplace.visualstudio.com/items?itemName=Zazmic.palm-api-image-editor,206,583,377,2.8
Chartographer,Easily visualize function call hierarchy in a neat graph representation,https://marketplace.visualstudio.com/items?itemName=ArpinFidel.chartographer,301,857,556,2.8
Android Lua Helper,"Android LuaHelper, Intellisense, Linting, Debugging, Code formatting, High-performance, and more.",https://marketplace.visualstudio.com/items?itemName=rise.androidluahelper,87,247,160,2.8
Auto-Close Duplicate File,Auto-Close Duplicate File is an extension for VS Code that automatically closes the file in another window when you open the same file in another window. This extension is useful for developers who work on multi-screen projects.,https://marketplace.visualstudio.com/items?itemName=julien-bessac.auto-close-duplicate-file,76,212,136,2.8
VScript Debugger,A debugger client for VScripts in games based on Source Engine.,https://marketplace.visualstudio.com/items?itemName=LionDoge.vscript-debug,130,366,236,2.8
"Continue - Llama 3, GPT-4, and more",Open-source autopilot for software development - bring the power of ChatGPT to your IDE,https://marketplace.visualstudio.com/items?itemName=Continue.continue,42319,115189,72870,2.7
 Token Count in Status Bar for your active file and selection,"GPT-4, GPT-3.5, Anthropic Claude, LLaMA token counts live in your status bar! token count file status bar.",https://marketplace.visualstudio.com/items?itemName=marxism.ai-token-count,174,464,290,2.7
