name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Wallarm API Security Platform: Advanced API Security & Cloud-Native WAAP,"Wallarm Advanced API Security and WAAP products provide robust protection for APIs, microservices, and serverless workloads running in cloud-native environments. Hundreds of Security and DevOps teams choose Wallarm to get unique visibility into malicious traffic, robust protection across their whole API portfolio, and automated incident response for product security programs. Wallarm supports modern tech stacks, offering dozens of deployment options in AWS, multi-cloud and Kubernetes-based environments, and also provides a full cloud solution.",https://aws.amazon.com/marketplace/pp/B073VRFXSD?qid=1714077642538&sr=0-1349&ref_=srh_res_product_title,85,0,-85,0.0
osTicket Server Helpdesk Solution on Ubuntu Server 20.04,osTicket Server Helpdesk Solution on Ubuntu Server 20.04,https://aws.amazon.com/marketplace/pp/B09FPMXJXK?qid=1714077659315&sr=0-1442&ref_=srh_res_product_title,38,0,-38,0.0
InterSystems IRIS for Health Community Edition,"InterSystems IRIS for Health™ provides all the capabilities for building complex, mission-critical, data-intensive applications. It is a comprehensive platform spanning data management, interoperability, transaction processing and analytics, built to accelerate time to value.",https://aws.amazon.com/marketplace/pp/B07N87JLMW?qid=1714077661034&sr=0-1457&ref_=srh_res_product_title,39,1,-38,0.0
MarkLogic Multi-Model Database: Developer Edition v. 9,"MarkLogic Server is the agile, scalable, and secure foundation of the MarkLogic Data Platform. A multi-model database with a wide array of enterprise-level data integration and management features, MarkLogic helps you create value from complex data - faster.",https://aws.amazon.com/marketplace/pp/B072Z536VB?qid=1714077649235&sr=0-1383&ref_=srh_res_product_title,31,0,-31,0.0
ONLYOFFICE Docs Enterprise Edition (50 connections),"ONLYOFFICE Docs Enterprise Edition comprises powerful online editors for text documents, spreadsheets, presentations, forms and PDFs, highly compatible with Microsoft Office file formats. ONLYOFFICE provides users with multiple editing tools and advanced collaborative features such as two co-editing modes, commenting, built-in chat, change tracking, thus ensuring greater team workflow and seamless work with complex formatting and objects.",https://aws.amazon.com/marketplace/pp/B08T1ZDH8V?qid=1714077685558&sr=0-1589&ref_=srh_res_product_title,57,0,-57,0.0
"F5 Per-App-VE Advanced WAF with LTM, IPI, TC (PAYG, 200Mbps)","F5 Per-App Virtual Editions (VEs) provide traffic management and Web Application Firewall (WAF) functionality on a 'per-app' basis. F5 Per-App VEs deliver the same scalable, secure and customizable market-leading services provided by traditional F5 physical and virtual ADCs- at a price and in a form factor appropriate for supporting individual apps. Each Per-App VE supports 1 VIP and up to 3 virtual servers.",https://aws.amazon.com/marketplace/pp/B08R5GXBWJ?qid=1714077688912&sr=0-1608&ref_=srh_res_product_title,15,0,-15,0.0
Python,"A pre-configured runtime environment with the Python programming language and program development and building tools, including C compiler, make etc.",https://aws.amazon.com/marketplace/pp/B07K8Z8L5H?qid=1714077693976&sr=0-1634&ref_=srh_res_product_title,137,0,-137,0.0
Datadog Pro (Container Agent),"This listing provides a container-based agent for ""Datadog Pro"". You will need to subscribe to ",https://aws.amazon.com/marketplace/pp/B07KBVNFQN?qid=1714077707506&sr=0-1675&ref_=srh_res_product_title,413,0,-413,0.0
Cisco Secure Web Appliance S600v - BYOL,"As you migrate your workloads from physical appliance to public cloud infrastructure, you need the same kind of secure web as offered by physical appliances.",https://aws.amazon.com/marketplace/pp/B07DNHPFRM?qid=1714077707506&sr=0-1676&ref_=srh_res_product_title,3,0,-3,0.0
Symantec Content and Malware Analysis,"Block, Detect and Analyze Threats with Automated, Advanced Threat Protection at the Gateway",https://aws.amazon.com/marketplace/pp/B07P67QT46?qid=1714077707506&sr=0-1674&ref_=srh_res_product_title,29,0,-29,0.0
Ribbon Session Border Controller Software Edition (SBC SWe) - BYOL,"Are you providing, or consuming, unified communications, conferencing and collaboration, or contact center services on AWS? Then you will benefit from Ribbon's session border controller (SBC) to ensure security, performance, and availability for all of your VoIP applications. The Ribbon SBC SWe provides robust interworking for VoIP signaling and media traffic, policy management to ensure QoS, and multiple security features to protect privacy and ensure regulatory compliance.",https://aws.amazon.com/marketplace/pp/B07RG71MWX?qid=1714077714773&sr=0-1717&ref_=srh_res_product_title,7,0,-7,0.0
KNIME Analytics Platform for AWS,This product includes both of the software packages described below:,https://aws.amazon.com/marketplace/pp/B071ZNNLC6?qid=1714077716708&sr=0-1724&ref_=srh_res_product_title,62,0,-62,0.0
"Ant Media Server Enterprise GPU - Low Latency Adaptive WebRTC, RTMP, HLS",-- Features --,https://aws.amazon.com/marketplace/pp/B07H44TM25?qid=1714077693976&sr=0-1635&ref_=srh_res_product_title,122,3,-119,0.0
Titan SFTP Enterprise Server for Windows,Secure FTP/SFTP/Web Server configured to run on a dedicated AWS AMI Virtual Machine,https://aws.amazon.com/marketplace/pp/B08912NY4D?qid=1714077636074&sr=0-1312&ref_=srh_res_product_title,24,0,-24,0.0
Tomcat Server on Ubuntu 20.04 LTS,Apache Tomcat® Server on Ubuntu 20.04 LTS,https://aws.amazon.com/marketplace/pp/B08FCJCD3W?qid=1714077620681&sr=0-1241&ref_=srh_res_product_title,1,0,-1,0.0
UiPath Robot,This product includes both of the software packages described below:,https://aws.amazon.com/marketplace/pp/B08Z5YWC8H?qid=1714077613851&sr=0-1217&ref_=srh_res_product_title,6104,1,-6103,0.0
NAKIVO Backup & Replication - Free Trial & BYOL,NAKIVO Backup & Replication delivers fast backup and recovery for Amazon EC2 workloads:,https://aws.amazon.com/marketplace/pp/B01BKFOEP0?qid=1714077610923&sr=0-1205&ref_=srh_res_product_title,203,1,-202,0.0
WordPress with PHP7.4 by Classmethod,"WordPress is one of the most popular website builder and content management systems, offering wide array of content customization plugins for site optimization and diverse user experience. This AMI is a base version WordPress featuring Amazon Linux 2, secure phpMyAdmin and wp-cli.",https://aws.amazon.com/marketplace/pp/B094QRDD62?qid=1714077608585&sr=0-1195&ref_=srh_res_product_title,12,0,-12,0.0
"Fortinet FortiADC-VM Application Delivery Controller (PAYG, 100Mbps)","Advanced Application Delivery Controller for AWS. FortiADC Application Delivery Controllers (ADC) provides application availability, web optimization, and application security (WAF). The FortiADC family of physical and virtual appliances delivers fast, secure and intelligent acceleration and distribution of demanding applications in the enterprise. FortiADC delivers fast, secure and intelligent acceleration for demanding application environments. FortiADC virtual machines offer the same features of the FortiADC hardware-based appliances and provide the flexibility to add or spin down system resources to match usage demands and help control costs in dynamic application environments.",https://aws.amazon.com/marketplace/pp/B07YGVH8LF?qid=1714077605371&sr=0-1187&ref_=srh_res_product_title,5,0,-5,0.0
