name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Zoho CRM for Gmail,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm_for_gmail/490347649391,11,99,88,9.0
Zoho Forms,"Build powerful online forms, on the web or mobile.",https://workspace.google.com/marketplace/app/zoho_forms/1055037783803,8,71,63,8.9
"Zoho: Craft, Send, and Track with Mail Merge",Merge data from Zoho CRM and Google Sheets to your Google Documents for personalized email or letters.,https://workspace.google.com/marketplace/app/zoho_craft_send_and_track_with_mail_merg/1002365760077,8,70,62,8.8
LumApps,"The Leading Employee Intranet, Recommended for Google Workspace™",https://workspace.google.com/marketplace/app/lumapps/707106531947,6,53,47,8.8
Zoho Books,"Zoho Books is your one stop shop online accounting software for managing your business. Its beautiful interface, non jargon text and features like bank feeds makes accounting an enjoyable experience.",https://workspace.google.com/marketplace/app/zoho_books/932402265855,8,67,59,8.4
Zoho Analytics,Visualize your data as beautiful charts and dashboards. Get valuable insights.,https://workspace.google.com/marketplace/app/zoho_analytics/381009473798,7,58,51,8.3
"Video Uploader for Dropbox, Drive","This app allows you to upload Dropbox, MS OneDrive, Google Drive™ video files to YouTube™ directly.",https://workspace.google.com/marketplace/app/video_uploader_for_dropbox_drive/872238254327,70,566,496,8.1
Zoho Invoice,"Craft professional invoices and collect payments online without spending a dime. Stay on top of your expenses, handle projects, and gain critical insights with over 30 reports using Zoho Invoice.",https://workspace.google.com/marketplace/app/zoho_invoice/526297669360,21,168,147,8.0
Zoho Forms,"Build powerful online forms, on the web or mobile.",https://workspace.google.com/marketplace/app/zoho_forms/1055037783803,9,71,62,7.9
"Zoho: Craft, Send, and Track with Mail Merge",Merge data from Zoho CRM and Google Sheets to your Google Documents for personalized email or letters.,https://workspace.google.com/marketplace/app/zoho_craft_send_and_track_with_mail_merg/1002365760077,9,70,61,7.8
Choice Eliminator Lite,"Choice Eliminator will eliminate options from a multiple-choice, list, or checkbox type of question.",https://workspace.google.com/marketplace/app/choice_eliminator_lite/150375423707,16,121,105,7.6
Dynamic Fields - Update Forms questions  ,"Dynamic Fields Add-on for Google Forms™ populates values of selection fields. Questions of type Multiple-choice, Drop-down, Checkbox or Grid can be updated by data from Sheets, Contacts or Groups.",https://workspace.google.com/marketplace/app/dynamic_fields_update_forms_questions/708020008404,19,144,125,7.6
PandaDoc for Google Docs,"Send, track, and e-sign your Google Docs with PandaDoc. Features include legally binding eSignature as well as recipient and document analytics. Start by creating an account at www.pandadoc.com.",https://workspace.google.com/marketplace/app/pandadoc_for_google_docs/463622177030,50,382,332,7.6
Zoho Invoice,"Craft professional invoices and collect payments online without spending a dime. Stay on top of your expenses, handle projects, and gain critical insights with over 30 reports using Zoho Invoice.",https://workspace.google.com/marketplace/app/zoho_invoice/526297669360,22,168,146,7.6
"Video Uploader for Dropbox, Drive","This app allows you to upload Dropbox, MS OneDrive, Google Drive™ video files to YouTube™ directly.",https://workspace.google.com/marketplace/app/video_uploader_for_dropbox_drive/872238254327,75,566,491,7.5
Zoho Books,"Zoho Books is your one stop shop online accounting software for managing your business. Its beautiful interface, non jargon text and features like bank feeds makes accounting an enjoyable experience.",https://workspace.google.com/marketplace/app/zoho_books/932402265855,9,67,58,7.4
Zoho Analytics,Visualize your data as beautiful charts and dashboards. Get valuable insights.,https://workspace.google.com/marketplace/app/zoho_analytics/381009473798,8,58,50,7.3
Form Director,"Direct Google Forms™ submission to apps in Google Workspace™, CRM, Accounting, Productivity, Marketing, etc.",https://workspace.google.com/marketplace/app/form_director/824044380012,95,682,587,7.2
QR Code Generator,"Best QR Generator for Form™.Customize, track QR Code for Form™ with high quality image. Respondents can open your Form™ by scan it with their mobile devices easily.",https://workspace.google.com/marketplace/app/qr_code_generator/283497561682,49,347,298,7.1
Zoho CRM for Gmail,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm_for_gmail/490347649391,14,99,85,7.1
Zoho Creator,Create custom apps for all your business needs with very little code. Build once on web and use them across mobile platforms with targeted functionality.,https://workspace.google.com/marketplace/app/zoho_creator/77578066546,14,100,86,7.1
Choice Eliminator Lite,"Choice Eliminator will eliminate options from a multiple-choice, list, or checkbox type of question.",https://workspace.google.com/marketplace/app/choice_eliminator_lite/150375423707,18,121,103,6.7
Zoho Creator,Create custom apps for all your business needs with very little code. Build once on web and use them across mobile platforms with targeted functionality.,https://workspace.google.com/marketplace/app/zoho_creator/77578066546,15,100,85,6.7
Zoho CRM for Gmail,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm_for_gmail/490347649391,15,99,84,6.6
Zoho Forms,"Build powerful online forms, on the web or mobile.",https://workspace.google.com/marketplace/app/zoho_forms/1055037783803,11,71,60,6.5
Zoho Forms,"Build powerful online forms, on the web or mobile.",https://workspace.google.com/marketplace/app/zoho_forms/1055037783803,11,71,60,6.5
Zoho Forms,"Build powerful online forms, on the web or mobile.",https://workspace.google.com/marketplace/app/zoho_forms/1055037783803,11,71,60,6.5
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,21,135,114,6.4
Zoho Analytics,Visualize your data as beautiful charts and dashboards. Get valuable insights.,https://workspace.google.com/marketplace/app/zoho_analytics/381009473798,9,58,49,6.4
"Zoho: Craft, Send, and Track with Mail Merge",Merge data from Zoho CRM and Google Sheets to your Google Documents for personalized email or letters.,https://workspace.google.com/marketplace/app/zoho_craft_send_and_track_with_mail_merg/1002365760077,11,70,59,6.4
"Zoho: Craft, Send, and Track with Mail Merge",Merge data from Zoho CRM and Google Sheets to your Google Documents for personalized email or letters.,https://workspace.google.com/marketplace/app/zoho_craft_send_and_track_with_mail_merg/1002365760077,11,70,59,6.4
"Zoho: Craft, Send, and Track with Mail Merge",Merge data from Zoho CRM and Google Sheets to your Google Documents for personalized email or letters.,https://workspace.google.com/marketplace/app/zoho_craft_send_and_track_with_mail_merg/1002365760077,11,70,59,6.4
